a,9081174698
about,1226734006
above,141894620
across,76597151
after,372948094
afterwards,5887924
again,150781416
against,147259825
all,2022459848
almost,66395121
alone,39326417
along,83444756
already,108324565
also,616829742
although,79579407
always,127634767
am,576436203
among,83431590
amongst,7657732
amoungst,19488
amount,92039679
an,1518266684
and,12997637966
another,192535750
any,710741293
anyhow,1521509
anyone,74170036
anything,75985266
anyway,24005157
anywhere,23947583
are,2393614870
around,178810033
as,2247431740
at,2272272772
back,488024109
be,2398724162
became,37332761
because,271323986
become,120495036
becomes,27462477
becoming,22483164
been,575019382
before,277546019
beforehand,1438671
behind,53824933
being,242783091
below,145701629
beside,5543255
besides,12246405
between,255436698
beyond,47315243
bill,98494166
both,228648541
bottom,45598411
but,999899654
by,3350048871
call,199608869
can,1242323499
cannot,88737
cant,8363193
co,114452742
computer,224177047
con,31452344
could,302311431
couldnt,1089020
cry,11624610
de,314593284
describe,24616555
detail,45494334
do,950751722
done,102812628
down,224915894
due,104908310
during,206364495
each,340892856
eg,64596001
eight,32567724
either,99143011
eleven,6033802
else,96020036
elsewhere,14853167
empty,26206017
enough,83592616
etc,51525815
even,245697701
ever,100264634
every,189325890
everyone,64197954
everything,91388083
everywhere,11153149
except,52183597
few,135132664
fifteen,6252259
fify,0
fill,35148024
find,502043038
fire,83845349
first,578161543
five,104165769
for,5933321709
former,46917563
formerly,10182974
forty,7415064
found,232005894
four,129167110
from,2275595356
front,100886343
full,309929179
further,109528141
get,605984508
give,140688602
go,421086358
had,480232730
has,1046319984
hasnt,294856
have,1564202750
he,842847219
hence,14992334
her,391961061
here,639711198
hereafter,1716113
hereby,7556876
herein,12372347
hereupon,90188
hers,2073030
herse",0
him,219516023
himse",0
his,660177731
how,571848080
however,163957176
hundred,18339491
i,3086225277
ie,59425745
if,1134987907
in,8469404971
inc,65312988
indeed,26943016
interest,120272948
into,445315294
is,4705743816
it,2813163874
its,525627757
itse",0
keep,119602514
last,417601616
latter,14044005
latterly,105332
least,111229798
less,145430147
ltd,65747979
made,287353021
many,318966441
may,827822032
me,566617666
meanwhile,8105294
might,123196001
mill,13658453
mine,28795477
more,1544771673
moreover,11797770
most,416210411
mostly,26774406
move,70113140
much,242326300
must,292774716
my,1059793441
myse",0
name,464532702
namely,6534503
neither,22640226
never,149556758
nevertheless,8587591
next,425903347
nine,26807668
no,937112320
nobody,14490265
none,85523201
noone,654686
nor,39753116
not,2633487141
nothing,73183983
now,611387736
nowhere,5582367
of,13151942776
off,284035693
often,92551460
on,3750423199
once,111882023
one,993536631
only,661844114
onto,26411439
or,2590739907
other,978481319
others,111397714
otherwise,53406486
our,998757982
ours,5182681
ourselves,13581863
out,741601852
over,459222855
own,232011723
part,302729303
per,218945655
perhaps,42450144
please,380046348
put,115205090
rather,73664932
re,430847564
same,234822585
see,681410380
seem,36852843
seemed,20472519
seeming,942551
seems,55276661
serious,38316678
several,107589584
she,339171382
should,402028056
show,247541986
side,141155373
since,214302926
sincere,2476939
six,71366336
sixty,4851534
so,661809559
some,548829454
somehow,9149642
someone,76212141
something,131836210
sometime,4781394
sometimes,47402973
somewhere,14317877
still,190433487
such,380725892
system,396975018
take,264349801
ten,46907473
than,502609275
that,3400031103
the,23135851162
their,782849411
them,403000411
themselves,47176048
then,369928941
thence,1989263
there,701170205
thereafter,5229938
thereby,8333948
therefore,62082477
therein,4663852
thereupon,544789
these,541003982
they,883223816
thick,14030556
thin,16007743
third,95489240
this,3228469771
those,270014141
though,91905891
three,223417394
through,342373303
throughout,51160616
thru,10412942
thus,59447388
to,12136980858
together,94113765
too,176093255
top,484213771
toward,30024561
towards,36798662
twelve,11182087
twenty,21104413
two,441398439
un,48651550
under,313296421
until,113090086
up,829969374
upon,103921220
us,1229112622
very,334923368
via,97167128
was,1483428678
we,1390661912
well,362082755
were,570699558
what,812395582
whatever,31869767
when,650621178
whence,1189837
whenever,14234378
where,360468339
whereafter,70286
whereas,14663372
whereby,3645304
wherein,4395949
whereupon,621340
wherever,6763200
whether,105014961
which,810514085
while,226194991
whither,564313
who,630927278
whoever,3961970
whole,85202530
whom,28678568
whose,43634263
why,192000672
will,1356293641
with,3183110675
within,261390908
without,219190105
would,572644147
yet,123160529
you,2996181025
your,2062066547
yours,20672809
yourself,51531914 
